index k seed graph algorithm obj_func
0 1024 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 907914
0 1024 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 957975
0 1024 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 949238
0 1024 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7609244
0 1024 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 761040
0 1024 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 200905
0 1024 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2086842
0 1024 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10417591
0 1024 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5249759
0 1024 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 666978
0 1024 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7451654
0 1024 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5036170
0 1024 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 2846193
0 1024 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 605352
0 1024 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 351766
0 1024 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 440814
0 1024 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6291025
0 1024 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3462589
0 1024 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17459050
0 1024 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4306471
0 1024 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21418594
0 1088 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 936834
0 1088 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 979673
0 1088 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 969277
0 1088 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7700622
0 1088 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 766449
0 1088 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 205682
0 1088 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2104981
0 1088 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10600215
0 1088 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5342253
0 1088 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 690938
0 1088 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7536169
0 1088 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5159108
0 1088 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 2814633
0 1088 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 605844
0 1088 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 352188
0 1088 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441292
0 1088 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6308426
0 1088 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3493392
0 1088 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17600868
0 1088 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4318653
0 1088 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21511989
0 1152 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 944712
0 1152 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 986371
0 1152 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 979878
0 1152 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7741138
0 1152 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 769583
0 1152 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 208483
0 1152 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2114120
0 1152 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10686196
0 1152 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5385224
0 1152 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 690490
0 1152 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7578375
0 1152 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5216226
0 1152 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 2919375
0 1152 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 605779
0 1152 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 352403
0 1152 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441223
0 1152 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6297867
0 1152 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3510384
0 1152 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17643294
0 1152 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4325323
0 1152 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21591330
0 1216 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 942955
0 1216 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 993064
0 1216 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 984506
0 1216 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7723710
0 1216 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 774381
0 1216 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 209862
0 1216 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2114009
0 1216 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10712094
0 1216 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5397735
0 1216 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 699364
0 1216 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7671953
0 1216 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5227435
0 1216 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 2942395
0 1216 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 605823
0 1216 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 352319
0 1216 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441254
0 1216 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6339087
0 1216 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3528551
0 1216 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17719718
0 1216 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4327201
0 1216 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21583201
0 1280 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 940926
0 1280 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 983994
0 1280 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 979852
0 1280 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7776688
0 1280 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 770189
0 1280 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 206635
0 1280 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2105366
0 1280 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10419467
0 1280 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5250879
0 1280 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 707171
0 1280 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7719035
0 1280 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5258831
0 1280 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 2984479
0 1280 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 605566
0 1280 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 352437
0 1280 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441066
0 1280 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6301527
0 1280 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3506370
0 1280 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17723826
0 1280 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4328389
